acousticness,popularity
0.00112,54
0.001126411,47.3
0.00113,51
0.001138075,49.25
0.00114,1
0.00114,62
0.00114,45
0.00115,1
0.00115,44
0.00115,58
0.00115975,44.25
0.001165,66
0.00117,40
0.00118,66
0.00118,44
0.00118,42
0.00119,53
0.00119,53
0.00119,64
0.00119405,0
0.0012,26
0.0012,51
0.0012,47
0.00121,0
0.00121,0
0.00121,31
0.00121075,45
0.001213157,46.5
0.00122,35
0.00122,40
0.00122,24
0.00123,0
0.00123,0
0.00123,59
0.001238667,48.66666667
0.00124,0
0.00124,37
0.00124,37
0.001243333,45
0.00125,39
0.00125,0
0.00125,0
0.00125,0
0.00125,40
0.00125,55
0.00126,49
0.00127,75
0.00127,58
0.00128,0
0.00128,52
0.00128,0
0.00128,50
0.00128,0
0.00129,51
0.00129,47
0.0012975,0
0.001298896,47.03846154
0.0013,0
0.0013,0
0.0013,0
0.0013,0
0.0013015,54.5
0.001305,46.33333333
0.00131,57
0.00131,66
0.00131,59
0.00131,0
0.00131,43
0.00132,35
0.00132,55
0.001322,33
0.001325495,43.83333333
0.001326,59.33333333
0.00133,42
0.00133,36
0.00133,0
0.0013353,48.75
0.00134,2
0.00134,0
0.00134,63
0.00134,48.5
0.00134,41
0.00134,31
0.00135,0
0.00135045,34
0.0013545,60.75
0.001356,53.33333333
0.00136,56.5
0.00136,41
0.00137,0
0.00137,48
0.00137,56
0.001378,36
0.00138,44
0.00138,41
0.001385333,69
0.001394167,60.66666667
0.0014,35.5
0.00141,40
0.00141,0
0.001419333,52
0.00142,53
0.00142,42
0.00143,0
0.00143,64
0.00144,55
0.00144,53
0.00144,0
0.00144,39
0.00144,46
0.00145,51
0.00145,0
0.00145,0
0.00145,51
0.00145,53
0.00146,35.66666667
0.00146,0
0.00146,0
0.00146,0
0.00146,0
0.00146,0
0.00146,0
0.001463734,53
0.00147,0
0.00147262,55.8
0.001476,30.5
0.001485125,48
0.00149,41
0.00149,57
0.00149,0
0.00149,46
0.00149,0
0.0015,72
0.00151075,53.5
0.00152,34
0.00152,63
0.00152,56
0.001520025,36.75
0.001525567,33.11111111
0.00153,46
0.00154,40
0.00154,53
0.00154,62
0.00154,57
0.00154,35
0.00154075,37.5
0.00155,0
0.00155,0
0.00155,0
0.00155,62.5
0.00155895,44.5
0.00156,41
0.00156,43
0.00157,53
0.00157,42
0.00157,63
0.00157,50
0.00157,26
0.00158,48.5
0.00158,41
0.001581567,51.83333333
0.00158476,45.15
0.001592568,47.73684211
0.00160422,47.4
0.00161,39
0.00161,2
0.00161,2
0.00162,58
0.00162,0
0.00162,41
0.00162,55
0.001627,55.66666667
0.00163,64
0.001630455,46.36363636
0.00164,0
0.00164,58
0.00165,55
0.00165,68
0.0016618,51
0.00166625,52.25
0.001677,33.66666667
0.00168,0
0.00168,42
0.001681,32.25
0.001682,51.5
0.001685,41.5
0.00169,0
0.00169,0
0.00169,56
0.00169,45
0.00169,0
0.00169,0
0.0017,40
0.0017,43
0.0017,0
0.0017,0
0.00171,0
0.0017103,57
0.001713333,29.33333333
0.00172,59
0.00172,35
0.00172,53
0.00173,59
0.00173,59
0.00173,59
0.00174,40.5
0.00175,52
0.00175,0
0.00175,0
0.00175,62
0.00175,42
0.00176,2
0.00176,0
0.00177,66.5
0.00177,18
0.00178,42
0.00178,0
0.00178,50
0.00178,50
0.00179,39
0.0018,46
0.0018,52
0.0018,25
0.001804975,52.75
0.00181,76
0.00181,46
0.00181,54
0.00181,54
0.0018125,0
0.00182,63
0.00182,0
0.00182,1
0.00182,47
0.001829585,51.45454545
0.00183,30
0.00183,59
0.00183,68
0.001835,50.5
0.00183842,58.4
0.00185,0
0.00185,2
0.00186,33
0.00186,4
0.00186155,37
0.001865,54
0.00187,50
0.00187,43
0.001872,48
0.0018745,48.5
0.00188,0
0.00188,61
0.00188,42
0.00188,0
0.001894326,46.10526316
0.0019,58
0.0019011,0
0.00191,47
0.00191,66
0.00192,52
0.00192,45
0.00193,64
0.00193,0
0.001935514,44.57142857
0.00194,36
0.00195,60
0.00195,0
0.00195,64
0.0019606,29.8
0.001960857,55.85714286
0.00197,56
0.00197,56
0.00201,40
0.00201,59
0.002013333,47
0.00202,72
0.00202,40
0.00202,21
0.00202,47
0.00202,21
0.002029667,65
0.00203,41
0.00203,37
0.00203,64
0.00203,52
