genres,acousticness,danceability,loudness,tempo,popularity,key
"['k-pop', 'k-pop girl group']",0.00589,0.54,-2.6460000000000004,176.023,61.0,7
"['boy band', 'dance pop', 'pop', 'post-teen pop']",0.04356735384615385,0.5473076923076924,-4.599892307692309,141.88392307692303,61.01538461538462,0
"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",0.12238634831460675,0.6950393258426968,-4.149426966292139,105.92942696629218,52.34269662921349,1
"['ballroom', 'easy listening']",0.7918333333333333,0.4961666666666667,-12.671166666666664,117.94366666666666,25.66666666666667,7
"['dirty south rap', 'pop rap', 'southern hip hop']",0.01643,0.8089999999999999,-8.81,125.0315,47.5,11
['white noise'],0.996,0.0,-47.19,0.0,57.0,1
"['canadian indie', 'canadian rock']",0.2275,0.6625,-11.6815,126.4555,42.0,9
"['dirty south rap', 'dirty texas rap', 'gangster rap', 'houston rap']",0.158,0.8420000000000001,-8.227,78.001,36.0,4
"['dark trap', 'emo rap', 'melodic rap', 'sad rap', 'underground hip hop', 'vapor trap']",0.224,0.748,-4.704,137.033,66.0,6
['miami bass'],0.032690000000000004,0.8510000000000001,-11.60925,133.01425,41.75,9
"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",0.2667213043478261,0.6371304347826089,-7.95813043478261,121.37563043478262,63.8695652173913,0
"['opm', 'pinoy rock']",0.4430000000000001,0.7175,-8.5365,97.2875,57.5,3
['emo rap'],0.11218461538461537,0.7337307692307694,-5.13403846153846,123.0933846153846,69.30769230769229,1
[],0.128,0.768,-6.5429999999999975,98.963,51.0,11
[],0.14,0.897,-13.63,95.02,63.0,1
"['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge', 'thrash core']",1.18e-05,0.451,-11.616,103.893,31.0,1
"['grunge', 'riot grrrl']",9.03e-06,0.349,-12.339,114.581,41.0,9
"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",0.19722222222222224,0.74,-8.15188888888889,99.07033333333334,52.111111111111114,10
[],0.0645,0.6709999999999999,-11.549,125.829,25.0,9
"['8-bit', 'scorecore']",0.762,0.7120000000000001,-9.18,133.444,48.0,7
"['acid house', 'big beat', 'chicago house', 'electronica', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']",0.00857,0.5534999999999999,-8.0475,128.4775,42.0,8
['alternative hip hop'],0.13795,0.649,-5.6370000000000005,122.3495,54.0,1
"['canadian hip hop', 'melodic rap', 'rap', 'southern hip hop', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",0.0166,0.764,-4.274,150.02100000000004,68.0,6
"['asian american hip hop', 'pop']",0.5274666666666666,0.585,-9.008666666666667,109.58783333333334,69.83333333333333,1
"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']",0.07337692307692308,0.7805384615384614,-6.487769230769231,122.07592307692305,42.53846153846154,1
"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']",0.030979733333333325,0.7932666666666666,-9.0515,129.2988333333333,37.23333333333333,11
[],0.103,0.8340000000000001,-6.257999999999999,95.993,60.0,0
[],0.463,0.6970000000000001,-9.856,119.951,57.0,10
['lo-fi beats'],0.952,0.748,-12.074000000000002,77.009,70.0,8
"['emo rap', 'melodic rap', 'sad rap']",0.637,0.597,-7.2189999999999985,145.826,66.0,1
"['dark trap', 'emo rap', 'glitchcore', 'sad rap']",0.139,0.816,-5.9979999999999976,171.028,66.0,1
['minneapolis sound'],0.179,0.7440000000000001,-8.867,94.801,31.0,11
"['boy band', 'dance pop']",0.3470300000000001,0.61025,-8.21425,101.63880000000002,49.0,10
"['indie hip hop', 'vermont indie']",0.545,0.8170000000000001,-6.585,70.949,62.0,0
[],0.0729,0.7859999999999999,-4.247,105.078,59.0,2
"['oi', 'pub rock', 'punk']",0.030186666666666667,0.596,-9.655333333333333,132.09066666666664,33.666666666666664,2
"['florida rap', 'vapor trap']",0.033133333333333334,0.8643333333333335,-8.401333333333335,90.15666666666664,67.66666666666667,0
