genres,popularity
[],0
[],0
[],48
[],0
[],11.5
[],21
[],8
[],33
[],19
[],27
[],7.5
[],34
[],0
[],0
[],24
[],3
[],0
[],45
[],62
[],32.4
[],0
[],1
[],20
[],48
[],9
[],43.5
[],1
[],0
[],0
[],36
[],8
[],0
[],0.230769231
[],6.5
[],0
[],0
[],43
[],0
[],49.5
[],0
[],0
[],20
[],0
[],29
[],0
[],61
[],0
[],76
[],0
[],0
[],22.5
[],3
[],7.666666667
[],1.416666667
[],0
[],52
[],7.666666667
[],86
[],60
[],64
[],46
[],49
[],38.5
[],0
[],50
[],6.65
[],0.75
[],38
[],28.33333333
[],2.25
[],0
[],44
[],4
[],45
[],63
[],46
[],52
[],0
[],1
[],0
[],0
[],6.833333333
[],32
[],12.66666667
[],8
[],0
[],0
[],59
[],8
[],65
[],0
[],72
[],3
[],55
[],11
[],1
[],50
[],34
[],21
[],3
[],15.3125
[],74
[],21.33333333
[],39
[],39
[],0
[],0
[],44
[],40
[],24
[],0
[],54
[],30
[],0
[],11.5
[],6
[],40
[],32
[],39
[],3
[],1
[],0
[],0
[],8
[],50
[],18.08333333
[],54
[],17
[],5
[],9.538461538
[],0.666666667
[],0
[],0
[],0
[],0.761904762
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],4
[],48
[],51
[],36
[],34
[],43
[],46
[],62
[],49
[],48
[],43.25
[],41
[],59
[],56
[],59.66666667
[],42
[],55
[],66
[],0
[],0
[],0
[],54
[],0
[],31
[],42
[],31
[],1
[],17
[],0
[],0
[],20
[],34
[],26
[],38.17391304
[],10
[],23
[],27
[],41
[],46
[],53
[],19
[],4
[],1
[],48
[],24
[],32.3
[],23
[],53
[],40
[],3.5
[],21.5
[],11.33333333
[],48
[],55
[],0
[],42
[],32
[],44
[],27
[],34.5
[],43
[],50
[],20
[],40
[],26
[],40
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],46
[],0
[],34
[],35
[],23.5
[],0
[],7
[],0
[],61.33333333
[],0
[],0
[],34
[],54
[],55
[],53
[],30.33333333
[],59
[],43
[],23
[],33
[],38
[],40
[],3
[],52
[],36
[],44
[],0
[],57
[],1
[],14
[],49
[],47
[],26
[],48
[],50
[],69
[],50
[],38
[],40
[],0
[],0
[],0
[],37
[],0
[],34
[],59
[],33.33333333
[],39
[],33.22222222
[],0
[],12
[],47.57142857
[],13.08333333
[],33
[],0
[],40.5
[],17
[],37
[],11.33333333
[],23
[],34
[],12
[],0
[],19
[],19
[],49
[],40.5
[],4.333333333
[],42
[],39
[],0.181818182
[],27.83333333
[],10
[],10
[],4.75
[],26.66666667
[],2
[],57
[],49
[],69
[],12
[],41.5
[],41
[],30
[],0
[],13.18181818
[],14.55555556
[],33.71428571
[],31
[],39
[],45
[],38
[],34.0625
[],32
[],20
[],0
[],24.33333333
[],23
[],5
[],36
[],11.66666667
[],32
[],49
[],0
[],0
[],38
[],4.916666667
[],14
[],21
[],64
[],0
[],8
[],25
[],34.66666667
[],6
[],28.2
[],62.57142857
[],49
[],6.8
[],0
[],0
[],0.5
[],38
[],47
[],38
[],34
[],0
[],59
[],53
[],0
[],0
[],1
[],0
[],13
[],54
[],51
[],41
[],49
[],48
[],38
[],73.42857143
[],59
[],59
[],0
[],49.5
[],13.33333333
[],14
[],34
[],4.5
[],0
[],48
[],34
[],66
[],52
[],2.752941176
[],34
[],0
[],0
[],0
[],57
[],13
[],34.66666667
[],38
[],0
[],0
[],51
[],37
[],21
[],45
[],42
[],56.33333333
[],3.578947368
[],0
[],2.444444444
[],0
[],0
[],21
[],58
[],13
[],61
[],0
[],35
[],0
[],46.5
[],50
[],15.33333333
[],36
[],43
[],39
[],1
[],0
[],0
[],51
[],6
[],34
[],56
[],45
[],39
[],0
[],14.07692308
[],20
[],51
[],21
[],12
[],4
[],13.41176471
[],19
[],0
[],1
[],0
[],52
[],0
[],4
[],0
[],26
[],27.25
[],0
[],45.5
[],18
[],2
[],46
[],49
[],0
[],39
[],14.33333333
[],10
[],42
[],0
[],46
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],15.5
[],0
[],1.333333333
[],11
[],0.451612903
[],46.5
[],0
[],66
[],84
[],0
[],0
[],0
[],76.15384615
[],35
[],62
[],1
[],24
[],35
[],29.2
[],0
[],58
[],37
[],3.25
[],3.666666667
[],0
[],16
[],39
