tempo,popularity
72.694,56.5
72.704,37
72.727,66
72.7395,63.5
72.74,0
72.74,0
72.748,0
72.754,26
72.77,0
72.78,0
72.789,32
72.802,44
72.81066667,0
72.819,0
72.824,53
72.837,0
72.844,50
72.862,0
72.881,51
72.881,12
72.886,0
72.886,0
72.886,0
72.903,20
72.9105,0.5
72.913,48
72.917,63
72.921,0
72.93,66
72.944,0
72.949,60
72.953,64
72.953,0
72.954,39
72.965,22
72.976,0
72.979,8
72.98,45
72.986,0
72.99,2
72.999,0
72.999,0
73.007,46
73.014,6
73.0175,51.5
73.019,59
73.02,7
73.02,1
73.02,7
73.02,7
73.047,64
73.055,51
73.085,53
73.086,43
73.088,0
73.096,0
73.105,53
73.124,0
73.1365,0
73.148,12
73.15966667,0
73.166,0
73.2,0
73.218,51
73.221,35
73.2215,0.5
73.228,0
73.23,51
73.246,0
73.246,0
73.249,50
73.273,19
73.316,46
73.316,46
73.3245,36.5
73.3245,36.5
73.328,27
73.33,60
73.336,19
73.336,19
73.336,19
73.339,0
73.346,0
73.35,48
73.356,66
73.359,37
73.3615,0
73.366,66
73.367,36
73.367,36
73.367,36
73.3748,0
73.377,53
73.378,0
73.408,17
73.4174,0
73.506,61
73.5115,38
73.5145,58
73.521,60
73.549,43
73.55,0
73.552,0
73.552,64.5
73.566,50
73.582,47
73.585,12
73.601,10
73.616,35.66666667
73.618,0
73.625,0
73.63,0
73.643,52
73.65,0
73.68,60
73.699,0
73.7065,0
73.7295,16
73.735,23
73.747,31
73.752,0
73.758,0
73.758,0
73.767,24
73.767,24
73.807,62
73.808,2
73.808,2
73.81575,0
73.8216,52.4
73.831,60
73.831,60
73.831,60
73.831,60
73.84,16
73.877,84
73.913,38
73.943,0
73.956,0
73.956,0
73.956,21
73.959,41
73.959,41
73.96233333,0
73.982,48
73.9835,0
73.98833333,0
74.005,36
74.0225,0.75
74.03,25
74.031,2
74.035,22
74.035,22
74.035,22
74.0385,0
74.0385,0
74.053,33
74.069,43
74.073,0
74.089,46
74.09636364,28.63636364
74.137,48
74.137,48
74.168,0
74.177,3
74.18,48
74.182,50
74.2015,0.333333333
74.204,0
74.217,36
74.232,47
74.237,0
74.242,0
74.251,13
74.254,0
74.255,19
74.259,4
74.275,52.5
74.27733333,0
74.28,67
74.284,0
74.285,46
74.285,46
74.287,45
74.299,31
74.322,45
74.324,0
74.324,0
74.328,0
74.328,0
74.359,19
74.359,19
74.359,19
74.369,67
74.369,67
74.37,1
74.396,2
74.417,0
74.417,0
74.418,57
74.422,40
74.43,0
74.43,0
74.43,0
74.439,50
74.444,41
74.444,41
74.448,0
74.449,0
74.452,3
74.477,52
74.477,52
74.48,57
74.48,57
74.48,0
74.507,0
74.5105,16
74.524,34
74.533,6
74.541,15
74.541,0
74.553,0
74.56,0
74.573,65
74.58,0
74.596,44
74.605,0
74.611,0
74.611,0
74.62,48
74.622,50
74.622,50
74.622,50
74.622,50
74.622,50
74.622,50
74.622,50
74.622,50
74.622,50
74.622,50
74.622,50
74.63766667,36.33333333
74.642,0
74.643,60
74.643,60
74.643,60
74.644,26
74.657,0
74.668,0
74.672,58
74.678,0
74.735,5
74.735,5
74.735,5
74.735,5
74.735,5
74.75,39
74.753,0
74.7555,0
74.756,2
74.759,52.5
74.76075,55.75
74.773,57
74.781,14
74.782,0
74.782,36
74.797,0
74.799,39
74.801,48
74.8245,0
74.8305,0
74.841,0
74.841,0
74.841,0
74.841,0
74.842,0
74.857,35
74.877,64
74.877,64
74.8805,49.25
74.893,0
74.918,44
