loudness,popularity
-30.292,62
-30.277,30
-30.2508,38.8
-30.245,56
-30.196,52
-30.19104545,32.36363636
-30.159,39.5
-30.142,31
-30.109,46
-30.108,42
-30.108,42
-30.105,43.44444444
-30.08,15
-30.073,48
-30.073,48
-30.073,48
-30.0715,38.25
-30.0515,44
-30.003,64
-29.9955,0
-29.992,61
-29.98307143,34.64285714
-29.973,65
-29.958,2.666666667
-29.935,42
-29.919,60
-29.854,2.333333333
-29.845,44
-29.747,47
-29.73,61
-29.705,0
-29.696,39
-29.696,39
-29.689,66
-29.6495,30
-29.634,63
-29.628,3
-29.575,65
-29.545,49
-29.545,49
-29.521,8
-29.515,15
-29.472,0
-29.4666,51.4
-29.442,33.66666667
-29.43,36
-29.43,36
-29.43,36
-29.429,52
-29.429,52
-29.412,0
-29.412,0
-29.412,0
-29.412,0
-29.405625,48.375
-29.405,52
-29.401,0
-29.32833333,56.66666667
-29.324,1
-29.297,48
-29.271,59
-29.25352632,37.57894737
-29.244,50
-29.244,50
-29.22,39
-29.214,29.5
-29.214,29.5
-29.214,51
-29.21,63
-29.165,67.58333333
-29.1355,57
-29.115,48
-29.108,46.5
-29.108,46.5
-29.106,29
-29.081,59
-29.067,60
-29.066,61
-29.056,52
-29.036,27.66666667
-29.031,56
-28.996,45
-28.97833333,35.33333333
-28.971,65
-28.9655,34
-28.96275,31.25
-28.9615,45.5
-28.93871429,41.57142857
-28.938,41
-28.867,0
-28.86271429,11.80952381
-28.846,57.33333333
-28.802,71
-28.786,0
-28.755,60
-28.733,0
-28.72092308,40.30769231
-28.7084,43
-28.708,57
-28.692,0
-28.692,0
-28.692,0
-28.677,37
-28.677,37
-28.677,37
-28.659,53
-28.642,32
-28.636,0
-28.61966667,0.666666667
-28.602,0
-28.59433333,40
-28.5805,63.5
-28.572,6
-28.548,70
-28.546,61
-28.5455,49.5
-28.542,53
-28.5415,48.25
-28.5335,0
-28.525,39
-28.49966667,51.66666667
-28.498,64
-28.496,41
-28.492,22
-28.492,22
-28.4855,27.5
-28.484,7.285714286
-28.47666667,28.66666667
-28.46,60
-28.457,13
-28.454,19
-28.429,30
-28.384,43
-28.384,43
-28.384,43
-28.384,43
-28.384,43
-28.384,43
-28.384,43
-28.383,56
-28.383,56
-28.357,0
-28.33,17
-28.318,51
-28.301,48
-28.29628571,0
-28.293,54
-28.26033333,34
-28.26,27
-28.26,27
-28.246,62
-28.242,15
-28.232,35
-28.2268,9
-28.215,65
-28.1985,0
-28.188,1
-28.17066667,72.33333333
-28.157,4.5
-28.1365,39.75
-28.131,36
-28.121,57
-28.112,3
-28.111,33
-28.111,33
-28.111,33
-28.051,60
-28.04933333,60.66666667
-28.034,41.33333333
-28.02088889,32.44444444
-28.016,52
-28.007,43
-27.9805,56.5
-27.973,0
-27.965,60
-27.94933333,45
-27.932,52.5
-27.93066667,30.33333333
-27.914,42
-27.91,41
-27.893,53
-27.893,53
-27.893,53
-27.8915,40.5
-27.89,55
-27.89,55
-27.89,55
-27.88511111,7.555555556
-27.874,66
-27.871,29
-27.863,0
-27.85416667,40.83333333
-27.853,48
-27.845,10.11764706
-27.8425,62
-27.833,50.33333333
-27.813,0
-27.782,39
-27.7795,57.5
-27.76669643,41.08928571
-27.753,26
-27.753,26
-27.727,35
-27.7076,61.8
-27.7076,61.8
-27.6984,56.1
-27.692,46
-27.688,35
-27.68366667,39.33333333
-27.68366667,39.33333333
-27.683,3.75
-27.658,1
-27.6505,37.5
-27.6505,37.5
-27.64066667,36
-27.626,47
-27.626,47
-27.625,3
-27.623,63
-27.574,34
-27.57365,18.3
-27.55642857,42.5
-27.547,46
-27.53166667,20.33333333
-27.528,52
-27.518,44
-27.516,51
-27.51,53
-27.475,63
-27.4465,0
-27.44441667,44.91666667
-27.44,55.66666667
-27.436625,35.5
-27.435,37
-27.435,37
-27.433,62
-27.421,61
-27.421,61
-27.4015,40
-27.395,10
-27.395,10
-27.393,25
-27.38488889,55
-27.37,29
-27.366,43
-27.366,43
-27.308,18.5
-27.293,67
-27.291,39
-27.25,69
-27.25,35
-27.23655,1.65
-27.18666667,22.66666667
-27.182,1
-27.18138462,13.84615385
-27.161,45.5
-27.15325,29
-27.151,20
-27.134,38
-27.12425,0.25
-27.107,0
-27.064,39
-27.059,45
-27.059,0
-27.029,44
-27.021,58
-27.009,31
-27.009,31
-27.009,9
-26.99575,43.75
-26.99,54
-26.9775,0
-26.977,46
-26.971,48
-26.949,17
-26.938,37
-26.924,50
-26.924,50
-26.924,50
-26.922,44
-26.922,44
-26.92,0
-26.916,0
-26.884,0
-26.884,0
-26.88222414,37
-26.87233333,42.66666667
-26.871,31.5
-26.863375,22.875
-26.855,0
-26.85183333,44.16666667
-26.834,60
-26.8295,36.5
-26.81476471,2.235294118
-26.81476471,2.235294118
-26.81476471,2.235294118
-26.80222222,48.33333333
-26.802,58
-26.789,59
-26.78,6
-26.772,46
-26.764,37
-26.764,74
-26.747,52
-26.746,60
-26.738,12
-26.729,31
-26.684,32
-26.678,43
-26.678,43
-26.67,39
-26.66666667,19.33333333
-26.633,39.75
-26.632,57
-26.632,57
-26.632,57
-26.624,1.666666667
-26.621,1
-26.609,74
-26.605,17
-26.57715385,0.538461538
-26.57715385,0.538461538
-26.57715385,0.538461538
-26.5745,39.5
-26.57,67
-26.5638,38.2
-26.537,60
-26.537,42
-26.5318,4.4
-26.5116875,8.0625
-26.51,63
-26.499,34
-26.48833333,0.666666667
-26.462,6
-26.459,0
-26.446,73
-26.41088235,0
-26.39771429,29.14285714
-26.396,42.05555556
-26.396,18.61290323
-26.3895,0
-26.36856,0.04
-26.358,58
-26.348,28
-26.342,39
-26.3405,68
-26.334,53.2
-26.333,0
-26.315,64
-26.25933871,33.08064516
-26.25683333,7.333333333
-26.249,65
-26.217,77.75
-26.21323529,9.705882353
-26.21323529,9.705882353
-26.20681176,28.71764706
-26.194,57
-26.186,28.33333333
-26.173,0
-26.17,47
-26.168,47
-26.167,47
-26.16,26
-26.131,52.23809524
-26.128,0
-26.12533333,0.333333333
-26.12266667,31.66666667
-26.11725,5.5
-26.106,61
-26.103,0
-26.103,0
-26.083,2
-26.073,32
-26.073,32
-26.073,32
-26.073,32
-26.06825,2.75
-26.0655,14.5
-26.058,64
-26.05592308,0
-26.055,0
-26.048,0
-26.036,47
-26.03333333,30.33333333
-26.017,65
-26.007,2
-25.999,55
-25.99825,35
-25.98966667,27
-25.987,67
-25.97266667,0.333333333
-25.9705,0
